Step,AssignmentStability,FollowerPolarization,LeaderLoadStdDev,LeaderDistVariance
5.000000,0.991919,0.192572,0.000000,5.751453
10.000000,0.988889,0.249484,0.000000,6.551476
15.000000,0.988889,0.294578,0.000000,7.832086
20.000000,0.994949,0.394793,0.000000,8.498816
25.000000,0.983838,0.594305,0.000000,8.534284
30.000000,0.981818,0.805456,0.000000,9.227474
35.000000,0.976768,0.944550,0.000000,9.103706
40.000000,0.973737,0.983613,0.000000,8.641836
45.000000,0.986869,0.994440,0.000000,8.367293
50.000000,0.992929,0.997566,0.000000,8.281702
55.000000,0.987879,0.997519,0.000000,8.125764
60.000000,0.974747,0.997910,0.000000,8.061979
