Step,FollowerPolarization
5.000000,0.222300
10.000000,0.385218
15.000000,0.481118
20.000000,0.541459
25.000000,0.619782
30.000000,0.710254
35.000000,0.785264
40.000000,0.858043
45.000000,0.915024
50.000000,0.947966
55.000000,0.967016
60.000000,0.978616
65.000000,0.988623
70.000000,0.993970
75.000000,0.996400
80.000000,0.997367
85.000000,0.997877
90.000000,0.998196
95.000000,0.998194
100.000000,0.998222
105.000000,0.998216
110.000000,0.998273
115.000000,0.998257
120.000000,0.998309
125.000000,0.998232
130.000000,0.998239
135.000000,0.998264
140.000000,0.998332
145.000000,0.998344
150.000000,0.998184
155.000000,0.998328
160.000000,0.998203
165.000000,0.998217
170.000000,0.998201
175.000000,0.997977
180.000000,0.998208
185.000000,0.998125
190.000000,0.998262
195.000000,0.998177
200.000000,0.998231
205.000000,0.998078
210.000000,0.998178
215.000000,0.998072
220.000000,0.998139
225.000000,0.998132
230.000000,0.998082
235.000000,0.998134
240.000000,0.998194
245.000000,0.998242
250.000000,0.998218
